sku,name,price,stock,description,is_active,brand,color,image_url
perfect-smartphone-version-1,"Perfect Smartphone Version",247.00,84,"High-quality smartphone with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
pro-tablet-version-2,"Pro Tablet Version",144.00,40,"High-quality tablet with excellent features and performance",1,TechPro,Black,placeholder.jpg
expert-laptop-performance-3,"Expert Laptop Performance",55.00,31,"High-quality laptop with excellent features and performance",1,TechPro,Black,placeholder.jpg
supreme-desktop-computer-performance-4,"Supreme Desktop Computer Performance",168.00,90,"High-quality desktop computer with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
master-monitor-max-5,"Master Monitor Max",267.09,71,"High-quality monitor with excellent features and performance",1,TechPro,Black,placeholder.jpg
essential-keyboard-edition-6,"Essential Keyboard Edition",107.97,76,"High-quality keyboard with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
essential-mouse-plus-7,"Essential Mouse Plus",39.02,6,"High-quality mouse with excellent features and performance",1,TechPro,Black,placeholder.jpg
classic-headphones-collection-8,"Classic Headphones Collection",88.06,55,"High-quality headphones with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
premium-earbuds-version-9,"Premium Earbuds Version",30.11,95,"High-quality earbuds with excellent features and performance",1,TechPro,Black,placeholder.jpg
supreme-speaker-model-10,"Supreme Speaker Model",144.71,7,"High-quality speaker with excellent features and performance",1,TechPro,Black,placeholder.jpg
essential-smartwatch-plus-11,"Essential Smartwatch Plus",234.33,56,"High-quality smartwatch with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
deluxe-fitness-tracker-edition-12,"Deluxe Fitness Tracker Edition",150.94,84,"High-quality fitness tracker with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
advanced-camera-grade-13,"Advanced Camera Grade",257.39,85,"High-quality camera with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
perfect-webcam-model-14,"Perfect Webcam Model",56.87,38,"High-quality webcam with excellent features and performance",1,TechPro,Black,placeholder.jpg
classic-microphone-series-15,"Classic Microphone Series",121.32,24,"High-quality microphone with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
ultra-router-plus-16,"Ultra Router Plus",78.41,31,"High-quality router with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
luxury-power-bank-model-17,"Luxury Power Bank Model",43.19,50,"High-quality power bank with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
advanced-charger-version-18,"Advanced Charger Version",39.93,69,"High-quality charger with excellent features and performance",1,TechPro,Black,placeholder.jpg
deluxe-usb-cable-model-19,"Deluxe USB Cable Model",11.71,72,"High-quality usb cable with excellent features and performance",1,TechPro,Black,placeholder.jpg
expert-hard-drive-max-20,"Expert Hard Drive Max",122.52,45,"High-quality hard drive with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
pro-smartphone-series-21,"Pro Smartphone Series",226.94,69,"High-quality smartphone with excellent features and performance",1,TechPro,Black,placeholder.jpg
ultra-tablet-series-22,"Ultra Tablet Series",190.71,14,"High-quality tablet with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
classic-laptop-series-23,"Classic Laptop Series",137.00,17,"High-quality laptop with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
master-desktop-computer-quality-24,"Master Desktop Computer Quality",152.00,88,"High-quality desktop computer with excellent features and performance",1,TechPro,Black,placeholder.jpg
modern-monitor-edition-25,"Modern Monitor Edition",257.00,15,"High-quality monitor with excellent features and performance",1,TechPro,Black,placeholder.jpg
supreme-keyboard-performance-26,"Supreme Keyboard Performance",79.77,53,"High-quality keyboard with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
deluxe-mouse-performance-27,"Deluxe Mouse Performance",20.07,51,"High-quality mouse with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
classic-headphones-edition-28,"Classic Headphones Edition",86.94,71,"High-quality headphones with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
supreme-earbuds-version-29,"Supreme Earbuds Version",195.68,29,"High-quality earbuds with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
essential-speaker-plus-30,"Essential Speaker Plus",84.52,81,"High-quality speaker with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
perfect-smartwatch-series-31,"Perfect Smartwatch Series",98.70,11,"High-quality smartwatch with excellent features and performance",1,TechPro,Black,placeholder.jpg
professional-fitness-tracker-performance-32,"Professional Fitness Tracker Performance",133.36,99,"High-quality fitness tracker with excellent features and performance",1,TechPro,Black,placeholder.jpg
perfect-camera-collection-33,"Perfect Camera Collection",171.00,11,"High-quality camera with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
supreme-webcam-series-34,"Supreme Webcam Series",89.73,90,"High-quality webcam with excellent features and performance",1,TechPro,Black,placeholder.jpg
essential-microphone-quality-35,"Essential Microphone Quality",107.36,22,"High-quality microphone with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
supreme-router-series-36,"Supreme Router Series",155.78,82,"High-quality router with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
classic-power-bank-performance-37,"Classic Power Bank Performance",53.28,85,"High-quality power bank with excellent features and performance",1,TechPro,Black,placeholder.jpg
modern-charger-plus-38,"Modern Charger Plus",22.19,77,"High-quality charger with excellent features and performance",1,TechPro,Black,placeholder.jpg
modern-usb-cable-series-39,"Modern USB Cable Series",27.67,22,"High-quality usb cable with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
deluxe-hard-drive-series-40,"Deluxe Hard Drive Series",138.96,26,"High-quality hard drive with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
perfect-smartphone-model-41,"Perfect Smartphone Model",239.00,59,"High-quality smartphone with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
expert-tablet-series-42,"Expert Tablet Series",243.42,42,"High-quality tablet with excellent features and performance",1,TechPro,Black,placeholder.jpg
deluxe-laptop-grade-43,"Deluxe Laptop Grade",125.00,88,"High-quality laptop with excellent features and performance",1,ElectroPlus,Black,placeholder.jpg
advanced-desktop-computer-plus-44,"Advanced Desktop Computer Plus",80.00,57,"High-quality desktop computer with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
luxury-monitor-version-45,"Luxury Monitor Version",143.00,80,"High-quality monitor with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
professional-keyboard-series-46,"Professional Keyboard Series",73.79,20,"High-quality keyboard with excellent features and performance",1,TechPro,Black,placeholder.jpg
premium-mouse-plus-47,"Premium Mouse Plus",26.99,43,"High-quality mouse with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
modern-headphones-series-48,"Modern Headphones Series",45.06,53,"High-quality headphones with excellent features and performance",1,TechPro,Black,placeholder.jpg
professional-earbuds-quality-49,"Professional Earbuds Quality",175.60,57,"High-quality earbuds with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
ultra-speaker-performance-50,"Ultra Speaker Performance",142.69,20,"High-quality speaker with excellent features and performance",1,GadgetWorld,Black,placeholder.jpg
MIX-STE-001,"StellarGoods Orange Series 1",21.13,63,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Orange,placeholder.jpg
MIX-FUT-002,"FutureWear Gold Series 2",121.22,19,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Gold,placeholder.jpg
MIX-STE-003,"StellarGoods Gold Series 3",153.37,78,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Gold,placeholder.jpg
MIX-CYB-004,"CyberLine Silver Series 4",29.42,50,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-QUA-005,"QuantumGear Gold Series 5",119.21,83,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Gold,placeholder.jpg
MIX-CYB-006,"CyberLine Orange Series 6",158.9,70,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Orange,placeholder.jpg
MIX-CYB-007,"CyberLine Gold Series 7",278.77,97,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Gold,placeholder.jpg
MIX-QUA-008,"QuantumGear Purple Series 8",95.46,19,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Purple,placeholder.jpg
MIX-CYB-009,"CyberLine Silver Series 9",223.18,38,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-FUT-010,"FutureWear White Series 10",215.64,16,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,White,placeholder.jpg
MIX-STE-011,"StellarGoods Gold Series 11",74.16,83,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Gold,placeholder.jpg
MIX-CYB-012,"CyberLine Gold Series 12",40.13,36,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Gold,placeholder.jpg
MIX-STE-013,"StellarGoods White Series 13",119.96,54,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,White,placeholder.jpg
MIX-STE-014,"StellarGoods Purple Series 14",224.49,96,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Purple,placeholder.jpg
MIX-FUT-015,"FutureWear Red Series 15",120.57,40,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Red,placeholder.jpg
MIX-FUT-016,"FutureWear Gold Series 16",12.8,98,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Gold,placeholder.jpg
MIX-STE-017,"StellarGoods White Series 17",82.22,23,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,White,placeholder.jpg
MIX-QUA-018,"QuantumGear Red Series 18",169.51,61,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Red,placeholder.jpg
MIX-NOV-019,"NovaTech Gold Series 19",55.32,47,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Gold,placeholder.jpg
MIX-NOV-020,"NovaTech Green Series 20",75.13,29,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Green,placeholder.jpg
MIX-CYB-021,"CyberLine Gold Series 21",119.3,97,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Gold,placeholder.jpg
MIX-QUA-022,"QuantumGear Purple Series 22",143.52,13,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Purple,placeholder.jpg
MIX-STE-023,"StellarGoods Red Series 23",53.44,83,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Red,placeholder.jpg
MIX-STE-024,"StellarGoods Blue Series 24",56.09,42,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Blue,placeholder.jpg
MIX-STE-025,"StellarGoods Purple Series 25",142.59,40,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Purple,placeholder.jpg
MIX-NOV-026,"NovaTech Purple Series 26",86.99,75,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Purple,placeholder.jpg
MIX-STE-027,"StellarGoods Purple Series 27",11.28,66,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Purple,placeholder.jpg
MIX-CYB-028,"CyberLine Silver Series 28",161.95,13,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-CYB-029,"CyberLine Silver Series 29",66.1,35,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-STE-030,"StellarGoods Red Series 30",167.33,66,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Red,placeholder.jpg
MIX-NOV-031,"NovaTech Red Series 31",18.53,77,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Red,placeholder.jpg
MIX-CYB-032,"CyberLine Silver Series 32",212.98,40,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-QUA-033,"QuantumGear Green Series 33",137.33,22,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Green,placeholder.jpg
MIX-FUT-034,"FutureWear Silver Series 34",116.32,21,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Silver,placeholder.jpg
MIX-FUT-035,"FutureWear Orange Series 35",282.69,55,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Orange,placeholder.jpg
MIX-STE-036,"StellarGoods Orange Series 36",124.21,68,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Orange,placeholder.jpg
MIX-CYB-037,"CyberLine Blue Series 37",14.31,10,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Blue,placeholder.jpg
MIX-NOV-038,"NovaTech Gold Series 38",281.43,95,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Gold,placeholder.jpg
MIX-STE-039,"StellarGoods Gold Series 39",32.44,62,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Gold,placeholder.jpg
MIX-QUA-040,"QuantumGear Purple Series 40",186.67,69,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Purple,placeholder.jpg
MIX-QUA-041,"QuantumGear Silver Series 41",90.78,22,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Silver,placeholder.jpg
MIX-STE-042,"StellarGoods Silver Series 42",231.53,40,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Silver,placeholder.jpg
MIX-STE-043,"StellarGoods Blue Series 43",185.21,89,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Blue,placeholder.jpg
MIX-NOV-044,"NovaTech Blue Series 44",71.24,19,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Blue,placeholder.jpg
MIX-CYB-045,"CyberLine Silver Series 45",174.84,57,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-QUA-046,"QuantumGear Blue Series 46",185.67,79,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Blue,placeholder.jpg
MIX-FUT-047,"FutureWear Purple Series 47",192.46,17,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Purple,placeholder.jpg
MIX-NOV-048,"NovaTech Purple Series 48",59.92,10,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Purple,placeholder.jpg
MIX-FUT-049,"FutureWear Green Series 49",142.61,44,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Green,placeholder.jpg
MIX-STE-050,"StellarGoods Red Series 50",92.93,95,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Red,placeholder.jpg
MIX-QUA-051,"QuantumGear Purple Series 51",85.87,99,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Purple,placeholder.jpg
MIX-QUA-052,"QuantumGear White Series 52",204.78,77,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,White,placeholder.jpg
MIX-FUT-053,"FutureWear Red Series 53",283.95,36,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Red,placeholder.jpg
MIX-NOV-054,"NovaTech Orange Series 54",74.68,19,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Orange,placeholder.jpg
MIX-STE-055,"StellarGoods Gold Series 55",259.97,38,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Gold,placeholder.jpg
MIX-NOV-056,"NovaTech Silver Series 56",51.74,99,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Silver,placeholder.jpg
MIX-FUT-057,"FutureWear Green Series 57",160.3,32,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Green,placeholder.jpg
MIX-NOV-058,"NovaTech Blue Series 58",284.75,15,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Blue,placeholder.jpg
MIX-CYB-059,"CyberLine Purple Series 59",279.17,25,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Purple,placeholder.jpg
MIX-NOV-060,"NovaTech Orange Series 60",119.26,67,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Orange,placeholder.jpg
MIX-CYB-061,"CyberLine Orange Series 61",215.67,40,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Orange,placeholder.jpg
MIX-CYB-062,"CyberLine Silver Series 62",286.89,85,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-STE-063,"StellarGoods Silver Series 63",222.38,88,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Silver,placeholder.jpg
MIX-NOV-064,"NovaTech Purple Series 64",52.62,69,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Purple,placeholder.jpg
MIX-QUA-065,"QuantumGear Blue Series 65",145.49,87,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Blue,placeholder.jpg
MIX-NOV-066,"NovaTech Red Series 66",242.54,38,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Red,placeholder.jpg
MIX-QUA-067,"QuantumGear Blue Series 67",221.48,24,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Blue,placeholder.jpg
MIX-QUA-068,"QuantumGear Black Series 68",131.44,59,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Black,placeholder.jpg
MIX-QUA-069,"QuantumGear Orange Series 69",290.83,94,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Orange,placeholder.jpg
MIX-QUA-070,"QuantumGear White Series 70",43.05,44,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,White,placeholder.jpg
MIX-QUA-071,"QuantumGear Purple Series 71",235.41,25,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Purple,placeholder.jpg
MIX-FUT-072,"FutureWear White Series 72",274.79,18,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,White,placeholder.jpg
MIX-CYB-073,"CyberLine Blue Series 73",263.08,55,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Blue,placeholder.jpg
MIX-STE-074,"StellarGoods Purple Series 74",243.25,18,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Purple,placeholder.jpg
MIX-CYB-075,"CyberLine Silver Series 75",136.27,99,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Silver,placeholder.jpg
MIX-QUA-076,"QuantumGear Orange Series 76",91.78,97,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Orange,placeholder.jpg
MIX-NOV-077,"NovaTech Green Series 77",162.71,61,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Green,placeholder.jpg
MIX-STE-078,"StellarGoods Purple Series 78",185,99,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Purple,placeholder.jpg
MIX-FUT-079,"FutureWear Green Series 79",281.04,73,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Green,placeholder.jpg
MIX-FUT-080,"FutureWear Red Series 80",15.32,58,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Red,placeholder.jpg
MIX-CYB-081,"CyberLine Orange Series 81",157.81,80,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Orange,placeholder.jpg
MIX-STE-082,"StellarGoods Black Series 82",117.07,100,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Black,placeholder.jpg
MIX-CYB-083,"CyberLine Red Series 83",253.21,42,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Red,placeholder.jpg
MIX-CYB-084,"CyberLine Black Series 84",61.92,25,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Black,placeholder.jpg
MIX-NOV-085,"NovaTech Green Series 85",103.07,40,"A brand new product from NovaTech. Experience the future of shopping.",1,NovaTech,Green,placeholder.jpg
MIX-FUT-086,"FutureWear Black Series 86",202.73,25,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Black,placeholder.jpg
MIX-CYB-087,"CyberLine Purple Series 87",206.76,28,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Purple,placeholder.jpg
MIX-CYB-088,"CyberLine Purple Series 88",71.67,57,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Purple,placeholder.jpg
MIX-FUT-089,"FutureWear Green Series 89",159.64,58,"A brand new product from FutureWear. Experience the future of shopping.",1,FutureWear,Green,placeholder.jpg
MIX-CYB-090,"CyberLine Green Series 90",289.52,83,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Green,placeholder.jpg
MIX-QUA-091,"QuantumGear Gold Series 91",28.17,82,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Gold,placeholder.jpg
MIX-STE-092,"StellarGoods Orange Series 92",192.81,97,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Orange,placeholder.jpg
MIX-CYB-093,"CyberLine Purple Series 93",294.68,27,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Purple,placeholder.jpg
MIX-QUA-094,"QuantumGear Gold Series 94",212.11,33,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Gold,placeholder.jpg
MIX-QUA-095,"QuantumGear Orange Series 95",269.95,10,"A brand new product from QuantumGear. Experience the future of shopping.",1,QuantumGear,Orange,placeholder.jpg
MIX-CYB-096,"CyberLine Purple Series 96",78.12,41,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Purple,placeholder.jpg
MIX-STE-097,"StellarGoods Blue Series 97",286.18,22,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Blue,placeholder.jpg
MIX-STE-098,"StellarGoods Gold Series 98",100.05,48,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,Gold,placeholder.jpg
MIX-CYB-099,"CyberLine Black Series 99",237.25,70,"A brand new product from CyberLine. Experience the future of shopping.",1,CyberLine,Black,placeholder.jpg
MIX-STE-100,"StellarGoods White Series 100",216.35,87,"A brand new product from StellarGoods. Experience the future of shopping.",1,StellarGoods,White,placeholder.jpg
